tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-410,Monte Carlo Masters,Clay,64,M,20250406,1,210011,,,Holger Rune,R,188,DEN,25.0,210002,,,Carlos Alcaraz,R,183,ESP,26.0,6-4 6-3,3,R128,110,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,11,1890,2,1484
2025-410,Monte Carlo Masters,Clay,64,M,20250406,2,210012,,,Tommy Paul,R,188,USA,25.0,210003,,,Alexander Zverev,R,198,GER,26.0,6-4 6-3,3,R64,117,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,12,1880,3,1476
2025-410,Monte Carlo Masters,Clay,64,M,20250406,3,210013,,,Grigor Dimitrov,R,191,BUL,25.0,210004,,,Daniil Medvedev,R,198,RUS,26.0,6-4 6-3,3,R32,124,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,13,1870,4,1468
2025-410,Monte Carlo Masters,Clay,64,M,20250406,4,210014,,,Alex de Minaur,R,183,AUS,25.0,210005,,,Novak Djokovic,R,188,SRB,26.0,6-4 6-3,3,R16,131,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,14,1860,5,1460
2025-410,Monte Carlo Masters,Clay,64,M,20250406,5,210015,,,Ben Shelton,L,193,USA,25.0,210006,,,Andrey Rublev,R,188,RUS,26.0,6-4 6-3,3,QF,138,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,15,1850,6,1452
2025-540,Roland Garros,Clay,128,G,20250525,1,210016,,,Frances Tiafoe,R,188,USA,25.0,210007,,,Casper Ruud,R,183,NOR,26.0,6-4 6-3 7-6(5),5,R128,110,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,16,1840,7,1444
2025-540,Roland Garros,Clay,128,G,20250525,2,210001,,,Jannik Sinner,R,188,ITA,25.0,210008,,,Hubert Hurkacz,R,196,POL,26.0,6-4 6-3 7-6(5),5,R64,117,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,1,1990,8,1436
2025-540,Roland Garros,Clay,128,G,20250525,3,210002,,,Carlos Alcaraz,R,183,ESP,25.0,210009,,,Stefanos Tsitsipas,R,193,GRE,26.0,6-4 6-3 7-6(5),5,R32,124,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,2,1980,9,1428
2025-540,Roland Garros,Clay,128,G,20250525,4,210003,,,Alexander Zverev,R,198,GER,25.0,210010,,,Taylor Fritz,R,196,USA,26.0,6-4 6-3 7-6(5),5,R16,131,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,3,1970,10,1420
2025-540,Roland Garros,Clay,128,G,20250525,5,210004,,,Daniil Medvedev,R,198,RUS,25.0,210011,,,Holger Rune,R,188,DEN,26.0,6-4 6-3 7-6(5),5,QF,138,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,4,1960,11,1412
2025-610,Wimbledon,Grass,128,G,20250630,1,210005,,,Novak Djokovic,R,188,SRB,25.0,210012,,,Tommy Paul,R,188,USA,26.0,6-4 6-3 7-6(5),5,R128,110,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,5,1950,12,1404
2025-610,Wimbledon,Grass,128,G,20250630,2,210006,,,Andrey Rublev,R,188,RUS,25.0,210013,,,Grigor Dimitrov,R,191,BUL,26.0,6-4 6-3 7-6(5),5,R64,117,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,6,1940,13,1396
2025-610,Wimbledon,Grass,128,G,20250630,3,210007,,,Casper Ruud,R,183,NOR,25.0,210014,,,Alex de Minaur,R,183,AUS,26.0,6-4 6-3 7-6(5),5,R32,124,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,7,1930,14,1388
2025-610,Wimbledon,Grass,128,G,20250630,4,210008,,,Hubert Hurkacz,R,196,POL,25.0,210015,,,Ben Shelton,L,193,USA,26.0,6-4 6-3 7-6(5),5,R16,131,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,8,1920,15,1380
2025-610,Wimbledon,Grass,128,G,20250630,5,210009,,,Stefanos Tsitsipas,R,193,GRE,25.0,210016,,,Frances Tiafoe,R,188,USA,26.0,6-4 6-3 7-6(5),5,QF,138,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,9,1910,16,1372
